author,rating,content,images,videos,title,created_at,verified_purchase
anaya,5,Loved it 😍,https://assets.myntassets.com/assets/images/2024/4/11/3e7d0e53-fdc7-496e-9a3a-34bb2cee28211712812608365-image628.jpg;https://assets.myntassets.com/assets/images/2024/4/11/f6ab3a5a-10eb-4327-9198-30c1ce5cfaef1712812585306-image883.jpg,,,2024-04-11 05:17:19,ACTIVE
nivadita singh,5,"Nice... everything is good fitting colour dupatta design...but
After 1-2 wash it will not look same it will look like cheap kurta( roadside market quality even cheaper than that) fabric is rayon....
It will shrink🥲🥹😨😰😓😞😭😭
But look wise A one hai ..",https://assets.myntassets.com/assets/images/2024/2/23/87f2845f-23fe-4bb8-b07a-cb514c9eb9b41708684423076-IMG_20240218_082817_463.jpg,,,2024-02-12 07:14:21,ACTIVE
Shalet Dsouza,5,I brot few dresses from KALINI and this pink one was one of the best among all. Too good to buy. Good material. Worth the price to buy. Good deal. Must buy. Wont find this design and fabric at such a discount anywhere i feel personally since i am shopaholic. 👏,https://assets.myntassets.com/assets/images/2023/12/25/ad1da275-012d-4283-aafc-9c5651d334571703503383786-image576.jpg;https://assets.myntassets.com/assets/images/2023/12/25/29b3744c-c35d-4f25-989b-ea507039ed4b1703503383818-image298.jpg,,,2023-12-25 11:25:08,ACTIVE
Sandhya Gurung,5,Was big on me had to alter it ..p.s everything looks big on me.. loved the color n quality but specially  the dupatta 💗,https://assets.myntassets.com/assets/images/2024/4/16/7dd718c3-0378-43c1-b77b-0d859b58be221713232938794-image180.jpg;https://assets.myntassets.com/assets/images/2024/4/16/0c863d92-7c12-410c-98fd-6b8f2740c2ab1713232879765-image601.jpg,,,2024-04-16 02:03:10,ACTIVE
Samiksha Zade,5,The material is super soft and the suit is pretty .The colour I like it very much/5 . I returned it because Myntra suggested size M but it's a little fit for me.so i will buy L size,https://assets.myntassets.com/assets/images/2024/5/24/142b5f20-7ff9-4628-be54-46e6424463381716533691543-image201.jpg;https://assets.myntassets.com/assets/images/2024/5/24/ab765a48-6b82-4028-8c6b-844e276be8a71716533691546-image129.jpg;https://assets.myntassets.com/assets/images/2024/5/24/375182ab-88e6-44a5-8e22-259bcb3ffc7b1716533691543-image680.jpg,,,2024-05-24 06:55:33,ACTIVE
Jasmine,5,"I try the dress once I receive it and I'm very happy with it. I'm more impressed with the pants. Usually the pants that come with these kurta sets will be ankle length or short and a bit tight around the thighs. But this one is long enough and perfect so I can move around comfortably. And the real bang is it has a pocket; not a tiny namesake one but an actual pocket like you can keep your mobile phone in.
Loved it
Will update after a few wash.",,,,2024-06-01 11:40:33,ACTIVE
kiran,5,Loved it,https://assets.myntassets.com/assets/images/2024/5/22/72cdaef1-4632-4ba8-b87a-f9a94cfbccff1716387400842-image819.jpg,,,2024-05-22 14:16:51,ACTIVE
Neha,4,"Material quality is good 👍 
",https://assets.myntassets.com/assets/images/2024/3/4/d0bc13cc-6a51-48da-ad4b-c87578b1b11e1709527083892-image234.jpg;https://assets.myntassets.com/assets/images/2024/3/4/5334f75c-7fb4-4645-a25f-533cb6da002b1709527083885-image688.jpg;https://assets.myntassets.com/assets/images/2024/3/4/46c10ff6-d5cd-4abb-a53a-6d1f1dbcc08e1709527083904-image309.jpg,,,2024-03-04 04:38:55,ACTIVE
Sumit singh,5,The quality of the suit was awesome and the color was same as expected from the seller it was nice my friend liked it some much that she have invited me to hangout for one night and I clicked many pictures with her and photos are nice. She is looking like awesome in that . I can't share pictures of girl tonexpress my views about the suit but I will suggest you to buy it. It is nice 👍,,,,2024-05-08 03:32:09,ACTIVE
Rupali shripal,5,Colour fabric length of dupatta all are amazing. Loved it worth it ,https://assets.myntassets.com/assets/images/2024/2/8/c015ae39-a384-4dee-a2ce-bc4580e36d161707394430300-image255.jpg,,,2024-02-08 12:14:59,ACTIVE
Aarti,3,"I'm happy with the product n I bought it after going through the reviews and I must say this is one of the best purchase but I got this cloth with bad folding as you can see there were so much cut threads on the pants and ofcourse Inside the top ..
Please take care a bit whoever do such things ",https://assets.myntassets.com/assets/images/2024/3/15/27995cc0-c3e4-4182-b90b-b1eef249e7cb1710522611173-image892.jpg,,,2024-03-15 17:13:14,ACTIVE
Shivani Soni,5,I absolutely adore the trendy styles this store offers. The clothes fit so well and they look amazing on a curvy figure. I really appreciate this option and the quality of the goods is so great that I will order product in the future. Thank you so much for making me feel beautiful!,,,,2024-06-02 14:50:46,ACTIVE
Avipriya Datta,5,Loved the dress....guys u must buy it....💖😍,https://assets.myntassets.com/assets/images/2024/4/9/1ba593df-d19f-4e45-911f-5fd974c712101712683626557-image573.jpg;https://assets.myntassets.com/assets/images/2024/4/9/70887419-f733-494e-a980-1c361121d52a1712683643258-image521.jpg,,,2024-04-09 17:28:14,ACTIVE
Jasmine,5,"I try the dress once I receive it and I'm very happy with it. I'm more impressed with the pants. Usually the pants that come with these kurta sets will be ankle length or short and a bit tight around the thighs. But this one is long enough and perfect so I can move around comfortably. And the real bang is it has a pocket; not a tiny namesake one but an actual pocket like you can keep your mobile phone in.
Loved it
Will update after a few wash.",,,,2024-06-01 11:40:33,ACTIVE
Priyanka laskar,5,Very nice 👍,https://assets.myntassets.com/assets/images/2024/5/16/2c709f73-a594-4caa-ad0e-e20695f72a541715816114387-image576.jpg,,,2024-05-15 23:35:35,ACTIVE
